,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,有無影片,食材種類,烹飪步驟,url,按讚數
0,0,愛料理,韓式辣豆腐鍋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425774/80456af58f68b822.jpg,744,20,None,13,1,https://icook.tw/recipes/425774,5
1,1,愛料理,韓式牛肉豆腐煲,https://tokyo-kitchen.icook.network/uploads/recipe/cover/423680/02e16919b9256a86.jpg,"1,667",15,None,14,5,https://icook.tw/recipes/423680,11
2,2,愛料理,韓式泡菜豆腐鍋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/420735/13775c43ed9bc8b6.jpg,"2,749",45,None,14,4,https://icook.tw/recipes/420735,13
3,3,愛料理,豆腐肉捲,https://tokyo-kitchen.icook.network/uploads/recipe/cover/406359/c2d0bf9b072ecbb4.jpg,"1,940",0,None,11,5,https://icook.tw/recipes/406359,6
4,4,愛料理,川味牛肉豆腐煲,https://tokyo-kitchen.icook.network/uploads/recipe/cover/416179/94566bfbd15a346c.jpg,"1,780",20,None,8,9,https://icook.tw/recipes/416179,11
5,401,楊桃,紅燒嫩豆腐,https://d3l76hx23vw40a.cloudfront.net/recipe/gy51-019_1.jpg,,,,9,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0309,3
6,605,楊桃,紅燒牛肉麵(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk76-016b_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-229,0
7,1004,楊桃,羊肉爐(4),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn70-025_1.jpg,,,,19,11,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A04-0157,73
8,1406,楊桃,腐乳排骨,https://d3l76hx23vw40a.cloudfront.net/recipe/bk49-038b_1.jpg,,,,8,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-244,2
9,2134,楊桃,蕃茄火鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/bk155-014_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F07-0518,11
10,3236,楊桃,麻辣火鍋(3),https://d3l76hx23vw40a.cloudfront.net/recipe/gy12-014_1.jpg,,,,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0671,0
11,3872,楊桃,薑母鴨沾醬,https://d3l76hx23vw40a.cloudfront.net/recipe/bk71-027b_1.jpg,,,,4,1,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=I03-376,0
12,3909,楊桃,腐乳拌過貓,https://d3l76hx23vw40a.cloudfront.net/recipe/whk054-013b_1.jpg,,,,4,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0798,5
13,4539,楊桃,紅燒嫩豆腐(1),https://d3l76hx23vw40a.cloudfront.net/recipe/gy51-019_1.jpg,,,,9,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0310,0
14,5694,楊桃,豆腐麻糬,https://d3l76hx23vw40a.cloudfront.net/recipe/whk090-116c_1.jpg,,,,10,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0561,0
15,5920,楊桃,奶香焗芙蓉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk30-131c_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-086,16
16,5974,楊桃,山野椎茸芙蓉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk30-130b_1.jpg,,,,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-083,0
17,6328,楊桃,京醬牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/sauce-36b_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-039,0
18,6642,楊桃,砂鍋魚頭火鍋(2),https://d3l76hx23vw40a.cloudfront.net/recipe/whk22-130_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-187,43
19,6929,楊桃,台式麻辣鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn092-032_1.jpg,,,,15,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2623,0
20,6934,楊桃,滷味拼盤(1),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn41-040_1.jpg,,,,10,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0385,0
21,7132,楊桃,沙茶石頭火鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/whk093-035b_1.jpg,,,,16,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1114,0
22,7382,楊桃,茄子壽喜燒,https://d3l76hx23vw40a.cloudfront.net/recipe/ck60-025_1.jpg,,,,9,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0294,0
23,7765,楊桃,羊肉爐沾料,https://d3l76hx23vw40a.cloudfront.net/recipe/sauce-59a_1.jpg,,,,6,1,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=I03-024,1
24,8442,楊桃,清炖牛肉麵,https://d3l76hx23vw40a.cloudfront.net/recipe/bk76-017b_1.jpg,,,,6,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-231,0
25,8457,楊桃,腐皮豆腐,https://d3l76hx23vw40a.cloudfront.net/recipe/whk30-110_1.jpg,,,,8,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-060,0
26,8702,楊桃,豆腐冬瓜盒,https://d3l76hx23vw40a.cloudfront.net/recipe/whk30-130a_1.jpg,,,,8,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-082,0
27,9824,楊桃,麻辣牛肉麵,https://d3l76hx23vw40a.cloudfront.net/recipe/bk76-015b_1.jpg,,,,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-528,1
28,10267,楊桃,麻香辣蓉豆腐,https://d3l76hx23vw40a.cloudfront.net/recipe/whk30-131b_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-085,0
29,10565,楊桃,壽喜鍋(2),https://d3l76hx23vw40a.cloudfront.net/recipe/m804_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0917,0
30,10814,楊桃,牛肉豆腐煲,https://d3l76hx23vw40a.cloudfront.net/recipe/whk077-094_1.jpg,,,,11,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1138,0
31,10902,楊桃,海底芙蓉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk112-016_1.jpg,,,,16,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B03-0340,0
32,12162,楊桃,牛肉麵(1),https://d3l76hx23vw40a.cloudfront.net/recipe/00_1.jpg,,,,4,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0861,0
33,12364,楊桃,素燴五香豆腐卷,https://d3l76hx23vw40a.cloudfront.net/recipe/00_1.jpg,,,,22,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=E01-005,0
34,12379,楊桃,豆花牛肉燴飯,https://d3l76hx23vw40a.cloudfront.net/recipe/whk087-020a_1.jpg,,,,18,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0526,0
35,12414,楊桃,麻婆豆腐燴飯(3),https://d3l76hx23vw40a.cloudfront.net/recipe/whk099-079c_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0576,0
36,12638,楊桃,香茜牛肉麵,https://d3l76hx23vw40a.cloudfront.net/recipe/bk76-022b_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-235,0
37,15479,楊桃,韓式部隊鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/ck66-025_1.jpg,,,,19,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0535,0
38,15526,楊桃,韓式泡菜鍋(2),https://d3l76hx23vw40a.cloudfront.net/recipe/ck66-013_1.jpg,,,,22,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0336,0
39,15828,楊桃,韓式牛肉鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/ck66-023_1.jpg,,,,22,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0534,0
40,15843,楊桃,雪花牛壽喜燒,https://d3l76hx23vw40a.cloudfront.net/recipe/0640_1.jpg,,,,11,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0946,0
41,15891,楊桃,壽喜鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/bk71-024_1.jpg,,,,9,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=I02-144,1
42,15901,楊桃,壽喜燒,https://d3l76hx23vw40a.cloudfront.net/recipe/bk52-021_1.jpg,,,,16,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-140,0
43,16036,楊桃,蕃茄鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/gy12-084_1.jpg,,,,4,1,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F07-0463,0
44,16155,楊桃,壽喜湯鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn092-030a_1.jpg,,,,14,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0979,0
45,16442,楊桃,壽喜鍋(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk155-021_1.jpg,,,,10,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0714,0
46,16590,楊桃,沙朗牛涮涮鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/0681_1.jpg,,,,7,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0949,0
47,16726,楊桃,壽喜燒(2),https://d3l76hx23vw40a.cloudfront.net/recipe/sk02-081b_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0421,0
48,16980,楊桃,牛肉味噌豆腐煮,https://d3l76hx23vw40a.cloudfront.net/recipe/whk068-035b_1.jpg,,,,10,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1057,0
49,16996,楊桃,壽喜燒(4),https://d3l76hx23vw40a.cloudfront.net/recipe/whk093-103a_1.jpg,,,,13,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1115,0
50,17001,楊桃,壽喜鍋(3),https://d3l76hx23vw40a.cloudfront.net/recipe/whk070-020a_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1060,0
51,17086,楊桃,甘醇蔬香壽喜燒,https://d3l76hx23vw40a.cloudfront.net/recipe/whk083-022a_1.jpg,,,,9,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1143,0
52,18180,楊桃,山藥味噌芙蓉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk36-078_1.jpg,,,,6,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-103,0
53,18268,楊桃,冷牛肉沙拉,https://d3l76hx23vw40a.cloudfront.net/recipe/sk03-053b_1.jpg,,,,5,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0434,0
54,19412,楊桃,營養雙冠餐,https://d3l76hx23vw40a.cloudfront.net/recipe/whk35-074a_1.jpg,,,,4,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-238,0
55,19479,楊桃,醬燒洋蔥,https://d3l76hx23vw40a.cloudfront.net/recipe/whk105-055b_1.jpg,,,,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1853,0
56,20598,楊桃,豆腐味噌湯(1),https://d3l76hx23vw40a.cloudfront.net/recipe/gy01-082_1.jpg,,,,9,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0218,0
57,20697,楊桃,味噌湯(2),https://d3l76hx23vw40a.cloudfront.net/recipe/bk128-044b_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0174,0
58,20708,楊桃,義式豆腐蔬菜湯,https://d3l76hx23vw40a.cloudfront.net/recipe/whk30-131a_1.jpg,,,,7,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-084,0
59,20779,楊桃,韓國烤肉火鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/whk3-112_1.jpg,,,,16,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-033,0
60,20888,楊桃,麻椒牛肉湯頭,https://d3l76hx23vw40a.cloudfront.net/recipe/bk76-015a_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=I03-509,0
61,21174,楊桃,咖哩牛肉湯麵,https://d3l76hx23vw40a.cloudfront.net/recipe/bk76-029b_1.jpg,,,,11,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-237,3
62,21179,楊桃,番茄牛肉燉飯,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn27-054_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0701,0
63,21186,楊桃,壽喜燒牛丼飯,https://d3l76hx23vw40a.cloudfront.net/recipe/ck83-014_1.jpg,,,,13,7,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0636,0
64,21192,楊桃,豆腐牛肉丼,https://d3l76hx23vw40a.cloudfront.net/recipe/ck83-029b_1.jpg,,,,10,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0645,0
65,21205,楊桃,沙嗲烤牛肉串飯,https://d3l76hx23vw40a.cloudfront.net/recipe/bk75-042b_1.jpg,,,,3,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-227,0
66,21213,楊桃,泡菜涼麵,https://d3l76hx23vw40a.cloudfront.net/recipe/ck77-033_1.jpg,,,,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0577,0
67,21218,楊桃,番茄牛肉燉飯(1),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn27-054_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0702,0
68,21223,楊桃,彩椒牛肉義大利麵,https://d3l76hx23vw40a.cloudfront.net/recipe/whk35-068a_1.jpg,,,,13,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-199,0
69,21235,楊桃,杏鮑菇牛肉焗飯,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn49-042b_1.jpg,,,,7,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0869,0
70,21244,楊桃,牛肉壽喜燒,https://d3l76hx23vw40a.cloudfront.net/recipe/whk45-030_1.jpg,,,,16,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-395,1
71,21249,楊桃,香辣牛肉麵,https://d3l76hx23vw40a.cloudfront.net/recipe/bk76-016b_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-233,0
72,21260,楊桃,越南牛肉河粉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk090-055a_1.jpg,,,,11,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1154,12
73,21297,楊桃,壽喜蓋飯,https://d3l76hx23vw40a.cloudfront.net/recipe/whk31-055a_1.jpg,,,,14,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-155,0
74,21338,楊桃,壽喜燒(7),https://d3l76hx23vw40a.cloudfront.net/recipe/whk124-103a_1.jpg,,,,14,8,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1316,0
75,21379,楊桃,泡菜牛肉泡飯,https://d3l76hx23vw40a.cloudfront.net/recipe/whk107-069a_1.jpg,,,,9,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1273,0
76,21384,楊桃,韓式辣醬烤牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk123-094_1.jpg,,,,14,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1310,0
77,21404,楊桃,日式涮涮鍋(2),https://d3l76hx23vw40a.cloudfront.net/recipe/whk111-048a_1.jpg,,,,14,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1239,0
78,21427,楊桃,蔥段牛肉鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/whk111-060_1.jpg,,,,9,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1241,0
79,21431,楊桃,牛肉乾湯麵,https://d3l76hx23vw40a.cloudfront.net/recipe/whk117-095b_1.jpg,,,,6,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1305,0
80,21852,楊桃,牛丼,https://d3l76hx23vw40a.cloudfront.net/recipe/bk35-010_1.jpg,,,,6,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-360,0
81,22756,楊桃,泰式酸辣芙蓉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk36-079b_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-104,0
82,23010,楊桃,芝麻豆腐涼麵,https://d3l76hx23vw40a.cloudfront.net/recipe/whk072-099a_1.jpg,,,,4,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0489,1
83,23627,楊桃,韓式冷湯麵(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk135-015_1.jpg,,,,17,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0399,17
84,24321,楊桃,豆腐提拉米蘇,https://d3l76hx23vw40a.cloudfront.net/recipe/whk049-059a_1.jpg,,,,8,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0451,1
